tool_id,tool,repo,issue,status,comments,title,body_excerpt,community_signal,role_relevance,captured_at,source_url,evidence_level
T24,OpenClaw,openclaw/openclaw,49971,closed,128,Native Agent Identity & Trust Verification,"提案指出 agent 可持有钱包/付款/安装 skills/跨平台通信但没有 native cryptographic identity；这是社区 RFC，不是已实现能力。",identity and trust gap,channel identity and action provenance,2026-07-28,https://github.com/openclaw/openclaw/issues/49971,C+E
T26,Hermes Agent,NousResearch/hermes-agent,11179,closed,60,Responses stream crashes when terminal response.output is null,"OpenAI-compatible provider 发送合法 output_item.done 后以 response.output=null 完成，Hermes 在 get_final_response 解析阶段崩溃，已有 empty-list 恢复逻辑未覆盖 null。",provider stream compatibility failure,unknown tool result must not become memory,2026-07-28,https://github.com/NousResearch/hermes-agent/issues/11179,C
T25,Pi Agent,earendil-works/pi,4945,open,75,openai-codex Connection Reliability Issues,"pi 0.75.5 与 openai-codex/gpt-5.5 在正常交互中卡在 Working，无流文本、tool call 或可见错误，只能 Escape，产生 aborted assistant turn。",active reliability report,aborted turn and state reconciliation,2026-07-28,https://github.com/earendil-works/pi/issues/4945,C
T27,OpenCode,anomalyco/opencode,7410,closed,386,Broken Claude Max,"OpenCode 1.1.8/macOS 的 Claude Max 使用突然停止，重连仍返回错误；issue 没有可重复步骤，但评论数反映服务连续性关注。",provider/subscription interruption,provider version and session continuity,2026-07-28,https://github.com/anomalyco/opencode/issues/7410,C
T28,SillyTavern,SillyTavern/SillyTavern,729,closed,35,Poe Invalid or expired token,"Android 13、Samsung Galaxy Tab S6 Lite、本地 Node 环境连接 Poe 后立即得到 Invalid or expired token；这是完整复现字段。",channel credential failure,connection profile must stay outside character memory,2026-07-28,https://github.com/SillyTavern/SillyTavern/issues/729,C
N01,RisuAI,kwaroran/Risuai,51,closed,10,I can't create a character,"点击 Create Character 无反应，只在左下角出现很小的空间且不可操作；角色前端基本创建流程被阻断。",role asset creation failure,character contract must be editable and testable,2026-07-28,https://github.com/kwaroran/Risuai/issues/51,C
N03,Agnai,agnaistic/agnai,86,closed,26,Scale request failed: socket hang up,"Docker 流量经 gluetun VPN 后所有 scale 请求失败，官方托管版本同一 URL/key 正常；说明部署网络和 provider 路由会改变结果。",deployment/provider routing failure,tenant/session/provider context must be logged,2026-07-28,https://github.com/agnaistic/agnai/issues/86,C
N10,NanoClaw,nanocoai/nanoclaw,80,closed,34,Support runtimes and providers other than Claude/Anthropic,"用户要求支持 OpenCode、Codex、Gemini 等 provider，理由是 Anthropic 订阅策略会影响依赖单一 provider 的常驻 Agent。",provider portability request,model/provider migration must preserve identity and memory,2026-07-28,https://github.com/nanocoai/nanoclaw/issues/80,C+E
N36,ZeroClaw,zeroclaw-labs/zeroclaw,1478,open,unknown,"[Feature]: 除了安全,什么功能也没有.","公开 issue 抱怨开启安全配置后仍拒绝安装或执行大量操作，作者将 ZeroClaw 与较大的 OpenClaw 做体积/配置取舍。评论数未从匿名 API 固定读取。",security/usability tradeoff report,tool authorization and role boundary must be measured separately,2026-07-28,https://github.com/zeroclaw-labs/zeroclaw/issues/1478,C+E
N37,Agent Zero,agent0ai/agent-zero,312,open,unknown,"Browser-agent not working - Playwright error","issue 描述浏览器 Agent 调用 Playwright 失败；这类失败会把“已完成浏览任务”与真实结果分离。评论数未固定读取。",browser execution failure,tool result integrity and recovery,2026-07-28,https://github.com/agent0ai/agent-zero/issues/312,C+E
N38,Nanobot,HKUDS/nanobot,215,open,unknown,"飞书无法建立长连接","issue 报告配置 app id/secret 后仍无法建立飞书长连接；渠道连接与 Agent 运行状态不一致。评论数未固定读取。",channel connectivity mismatch,channel identity and delivery receipt,2026-07-28,https://github.com/HKUDS/nanobot/issues/215,C+E
N39,Void,voideditor/void,2,open,unknown,"Missing local installation in README","issue 反映本地安装说明缺失，属于开源 IDE 的可复现性和上手维护缺口。评论数未固定读取。",documentation/onboarding gap,installation and provider setup affect reproducibility,2026-07-28,https://github.com/voideditor/void/issues/2,C+E
N40,Zed Agent,zed-industries/zed,7992,open,unknown,"Font rendering on LoDPI displays","issue 报告低 DPI 显示器文字渲染模糊；不是 Agent 专项，但提醒桌面环境会影响长会话可读性和人工审核。评论数未固定读取。",desktop UX visibility issue,operator review and trace readability,2026-07-28,https://github.com/zed-industries/zed/issues/7992,C+E
N42,SGLang,sgl-project/sglang,6017,open,unknown,"Instruction for Running DeepSeek with Large-scale PD and EP","issue 讨论大规模 PD/EP 部署说明和性能改进；后端性能、配置与版本会影响角色 provider 的延迟和输出稳定性。评论数未固定读取。",runtime deployment/performance report,provider latency and reproducibility metadata,2026-07-28,https://github.com/sgl-project/sglang/issues/6017,C+E
