tool_id,tool,source_type,package_or_image,window,metric_value,captured_at,source_url,confidence,limitations
T01,OpenAI Agents SDK,npm,@openai/agents,last-week 2026-07-18..2026-07-24,1461799,2026-07-28,https://api.npmjs.org/downloads/point/last-week/%40openai%2Fagents,medium,"package downloads include CI, mirrors and transitive use"
T05,Semantic Kernel,npm,semantic-kernel,last-week 2026-07-18..2026-07-24,4924,2026-07-28,https://api.npmjs.org/downloads/point/last-week/semantic-kernel,low,"JavaScript package is not the full multi-language ecosystem"
T07,CrewAI,npm,crewai,last-week 2026-07-18..2026-07-24,80,2026-07-28,https://api.npmjs.org/downloads/point/last-week/crewai,low,"Python package is measured separately below; npm name may be unrelated"
T10,Strands Agents,npm,strands-agents,last-week 2026-07-18..2026-07-24,48,2026-07-28,https://api.npmjs.org/downloads/point/last-week/strands-agents,low,"package identity requires manual mapping"
T11,Letta,npm,letta,last-week 2026-07-18..2026-07-24,9,2026-07-28,https://api.npmjs.org/downloads/point/last-week/letta,low,"main distribution is not represented by this npm package"
T12,Mem0,npm,mem0ai,last-week 2026-07-18..2026-07-24,94846,2026-07-28,https://api.npmjs.org/downloads/point/last-week/mem0ai,medium,"npm downloads are not independent users"
T19,Browser Use,npm,browser-use,last-week 2026-07-18..2026-07-24,2736,2026-07-28,https://api.npmjs.org/downloads/point/last-week/browser-use,low,"Python and npm distributions are different entry points"
T20,Claude Code,npm,@anthropic-ai/claude-code,last-week 2026-07-18..2026-07-24,10760218,2026-07-28,https://api.npmjs.org/downloads/point/last-week/%40anthropic-ai%2Fclaude-code,high,"downloads measure package retrieval, not active sessions"
T21,Gemini CLI,npm,@google/gemini-cli,last-week 2026-07-18..2026-07-24,567566,2026-07-28,https://api.npmjs.org/downloads/point/last-week/%40google%2Fgemini-cli,medium,"downloads include automated installs"
T24,OpenClaw,npm,openclaw,last-week 2026-07-18..2026-07-24,2715506,2026-07-28,https://api.npmjs.org/downloads/point/last-week/openclaw,medium,"package downloads do not prove always-on deployments"
T27,OpenCode,npm,opencode-ai,last-week 2026-07-18..2026-07-24,1770265,2026-07-28,https://api.npmjs.org/downloads/point/last-week/opencode-ai,medium,"package name and product releases can diverge"
T39,n8n,npm,n8n,last-week 2026-07-18..2026-07-24,100034,2026-07-28,https://api.npmjs.org/downloads/point/last-week/n8n,medium,"npm downloads exclude Docker and hosted use"
T40,Flowise,npm,flowise,last-week 2026-07-18..2026-07-24,3018,2026-07-28,https://api.npmjs.org/downloads/point/last-week/flowise,low,"package downloads exclude Docker and hosted use"
T46,OpenAI Codex CLI,npm,@openai/codex,last-week 2026-07-18..2026-07-24,15226164,2026-07-28,https://api.npmjs.org/downloads/point/last-week/%40openai%2Fcodex,high,"downloads include CI and repeated updates"
T02,LangGraph,PyPI,langgraph,last-week rolling,16259196,2026-07-28,https://pypistats.org/packages/langgraph,high,"recent rolling window; not DAU"
T03,LlamaIndex,PyPI,llama-index,last-week rolling,1747757,2026-07-28,https://pypistats.org/packages/llama-index,medium,"recent rolling window; package family has many subpackages"
T04,Haystack,PyPI,haystack-ai,last-week rolling,239084,2026-07-28,https://pypistats.org/packages/haystack-ai,medium,"recent rolling window; not deployment count"
T05,Semantic Kernel,PyPI,semantic-kernel,last-week rolling,566539,2026-07-28,https://pypistats.org/packages/semantic-kernel,medium,"recent rolling window; all language bindings not included"
T06,AutoGen,PyPI,autogen-agentchat,last-week rolling,241602,2026-07-28,https://pypistats.org/packages/autogen-agentchat,medium,"recent rolling window; package scope is one component"
T07,CrewAI,PyPI,crewai,last-week rolling,2742804,2026-07-28,https://pypistats.org/packages/crewai,high,"recent rolling window; not unique installations"
T08,PydanticAI,PyPI,pydantic-ai,last-week rolling,3957888,2026-07-28,https://pypistats.org/packages/pydantic-ai,high,"recent rolling window; CI and mirrors included"
