id,title,source_url,alternate_urls,publication_status,scope_summary,source_level,code_or_data_status,reproduction_status,role_consistency_use,notes
A01,CharacterEval,https://aclanthology.org/2024.acl-long.638/,,ACL 2024,中文角色基准；多轮对话、77 角色、13 指标/四类能力、CharacterRM 人工标注奖励模型。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A02,InCharacter,https://aclanthology.org/2024.acl-long.102/,,ACL 2024,访谈式心理测量；32 角色、14 量表；报告最高 80.7% 人格对齐。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A03,RoleLLM/RoleBench,https://aclanthology.org/2024.findings-acl.878/,,Findings ACL 2024,"100 角色、168,093 样本；Profile、Context-Instruct、RoleGPT、RoCIT。",A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A04,SocialBench,https://aclanthology.org/2024.findings-acl.125/,,Findings ACL 2024,"500 角色、6,000+ 问题、30,800 多轮话语；个人社会性与群体社会性分离。",A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A05,TimeChara,https://aclanthology.org/2024.findings-acl.197/,,Findings ACL 2024,"10,895 个时点角色幻觉实例；测试知识、身份和剧情时间边界。",A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A06,Character profiling,https://aclanthology.org/2024.emnlp-main.456/,,EMNLP 2024,CROSS 文学角色资料集，由文学专家提供 ground truth；评估角色理解和下游可用性。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A07,CharacterGLM,https://aclanthology.org/2024.emnlp-industry.107/,,EMNLP Industry 2024,社会角色 profile 与外部行为的中文语料及模型；强调跨场景定制和泛化。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A08,PersonaLLM,https://aclanthology.org/2024.findings-naacl.229/,,Findings NAACL 2024,GPT-3.5/GPT-4 的 Big Five 角色、自报 BFI、写作和人类识别；AI 作者提示会降低部分识别准确率。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A09,Persona survey,https://aclanthology.org/2024.findings-emnlp.969/,,Findings EMNLP 2024,将领域分为 LLM role-playing 与 LLM personalization，并整理 persona evaluation。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A10,CharacterBox,https://aclanthology.org/2025.naacl-long.323/,,NAACL 2025,文本虚拟世界 sandbox；character agent+narrator agent 生成细粒度行为轨迹，并提供轻量 CharacterNR/CharacterRM。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A11,RPA evaluation guideline,https://aclanthology.org/2025.findings-acl.938/,,Findings ACL 2025,"系统筛选 1,676 篇论文，归纳 6 类 Agent 属性、7 类任务属性和 7 类评估指标。",A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A12,Persona-aware contrastive learning,https://aclanthology.org/2025.findings-acl.1344/,,Findings ACL 2025,Persona-Aware Contrastive Learning；role chain 自问与 adversarial 对比；报告自动和人工评价提升。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A13,Reasoning Does Not Necessarily Improve Role-Playing,https://aclanthology.org/2025.findings-acl.537/,,Findings ACL 2025,6 个 benchmark、24 个 LLM、3 种策略；CoT/推理优化并不保证角色能力，部分场景降低保真。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A14,Beyond Profile,https://aclanthology.org/2025.findings-acl.1094/,,Findings ACL 2025,CharacterBot 用外部语言结构和内部思维任务模拟鲁迅；CharLoRA 组合 style 与任务专家。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A15,BehaviorChain,https://aclanthology.org/2025.findings-acl.813/,,Findings ACL 2025,"1,001 personas、15,846 连续行为；测试动态行为链，现有模型仍有明显差距。",A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A16,Crab,https://aclanthology.org/2025.acl-long.731/,,ACL 2025,可配置 RP LLM、Role-centric data、手工 benchmark、RoleRM；强调细粒度角色评价。,A,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A17,PersonaGym,https://arxiv.org/abs/2407.18416,,2024 arXiv/公开框架,"200 personas、10,000 questions、6 模型；PersonaScore 用专家 rubric 示例校准 judge ensemble。",B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A18,PsychoBench,https://arxiv.org/abs/2310.01386,,2023 arXiv/公开代码,13 个心理量表，覆盖人格、人际、动机、情绪；用于测量 LLM 输出的人格表现。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
A19,PingPong,https://arxiv.org/abs/2409.06820,,2024 arXiv,player、interrogator、judge ensemble；40+ 模型、8 角色、8 情境，多模型评价与人工相关。,B,needs_audit,not_started,see scope summary,Extracted from research trajectory; verify license and implementation.
