id,title,publication_or_source,code_or_data_url,source_level,environment,core_task,role_consistency_mapping,limitations,status
E01,AgentBench: Evaluating LLMs as Agents,https://arxiv.org/abs/2308.03688,https://github.com/THUDM/AgentBench,A,OS/web/database/knowledge/tool environments,agent task success and robustness,tool policy and cross-environment behavior,not role-specific and older provider assumptions,screened
E02,WebArena,https://arxiv.org/abs/2307.13854,https://github.com/web-arena-x/webarena,B,realistic websites,web task completion and state changes,persona persistence across navigation and site context,websites require maintenance and credentials,screened
E03,BrowserGym,https://arxiv.org/abs/2412.05467,https://github.com/ServiceNow/BrowserGym,B,web-agent research ecosystem,standardized browser tasks and reproducible environments,action traces and recovery under dynamic UI,environment setup and task coverage vary,screened
E04,OSWorld,https://arxiv.org/abs/2404.07972,https://github.com/xlang-ai/OSWorld,B,real computer desktop,open-ended computer-use tasks,tool identity and memory under long desktop trajectories,VM/image cost and non-deterministic UI,screened
E05,GAIA,https://arxiv.org/abs/2311.12983,https://huggingface.co/datasets/gaia-benchmark/GAIA,B,general assistant web/files/tools,question answering and tool orchestration,knowledge boundary and provenance under real tasks,benchmark access may require authentication,screened
E06,AppWorld,https://aclanthology.org/2024.acl-long.850/,https://github.com/StonyBrookNLP/appworld,A,controllable apps and people,function calling and interactive coding,relationship/user state and side-effect consistency,not fictional-character focused,screened
E07,AgentDojo,https://arxiv.org/abs/2406.13352,https://github.com/ethz-spylab/agentdojo,B,dynamic tools and prompt injection,attack/defense under tool use,character boundaries and indirect prompt injection,security benchmark not role quality,screened
E08,Tau-bench,https://arxiv.org/abs/2406.12045,https://github.com/sierra-research/tau-bench,B,retail/airline APIs and simulated user,tool-agent-user interaction,relationship-aware user simulator and policy adherence,domain policies and simulated user assumptions,screened
E09,ToolSandbox,https://arxiv.org/abs/2408.04682,https://github.com/apple/ToolSandbox,B,stateful multi-domain tools,tool learning with stateful interactions,life-state and memory transitions across tools,tool set and simulator scope,screened
E10,TheAgentCompany,https://arxiv.org/abs/2412.14161,https://github.com/TheAgentCompany/TheAgentCompany,B,consequential workplace tasks,realistic task completion and side effects,role obligations and long-horizon task identity,environment maintenance and safety boundaries,screened
E11,WebChoreArena,https://arxiv.org/abs/2506.01952,https://github.com/OSU-NLP-Group/WebChoreArena,B,tedious realistic web tasks,web browsing and multi-step completion,patience/goal persistence and memory under repetitive work,preprint and environment drift,watchlist
E12,VisualWebArena,https://aclanthology.org/2024.acl-long.50/,https://github.com/web-arena-x/visualwebarena,A,visual websites,multimodal web tasks,visual grounding and expression/action consistency,not role-specific,screened
E13,OS-Harm,https://arxiv.org/abs/2506.14866,unknown,B,computer-use environments,safety harm measurement,role fidelity versus tool safety and over-refusal,preprint and code status to verify,watchlist
E14,From Confident Closing to Silent Failure,https://arxiv.org/abs/2606.09863,unknown,B,agent task outcomes,false success and silent failure detection,distinguish role claim from actual tool result,2026 preprint and no verified code,watchlist
E15,MCP-AgentBench,https://arxiv.org/abs/2509.09734,unknown,B,MCP-mediated tools,real-world language agent performance,provider/tool protocol and action receipts,2025 preprint and code status to verify,watchlist
