id,tool,ecosystem,provider,memory,hitl,async,browser,sandbox,channels,retrieval,observability,maintenance,role_relevance,confidence,basis,notes
T01,OpenAI Agents SDK,orchestration,multi-provider,session,yes,partial,no,no,no,tools/resources,tracing,active,adjacent,high,T01 C01,official sessions guardrails tracing
T02,LangGraph,stateful orchestration,multi-provider,persistent state,yes,yes,no,no,no,partial,tracing,active,adjacent,high,T02 C02,durable execution and memory are official claims
T03,LlamaIndex,data agent/RAG,multi-provider,vector/index,partial,yes,no,partial,no,vector/RAG,partial,active,adjacent,high,T03 C03,code execution and memory boundaries need separate audit
T04,Haystack,RAG pipeline,multi-provider,partial,partial,partial,no,no,no,hybrid RAG,hooks/logs,active,adjacent,high,T04 C04,lifecycle hooks and token usage are official
T05,Semantic Kernel,enterprise orchestration,multi-provider,persistent/partial,partial,yes,partial,no,no,vector/plugins,logs,transition,adjacent,medium,T05 C05,Agent Framework successor status is a migration variable
T06,AutoGen,multi-agent,multi-provider,session,yes,yes,partial,partial,no,tools,logs,maintenance-mode,adjacent,high,T06 C06,official migration notice and action-receipt issue
T07,CrewAI,multi-agent/workflow,multi-provider,persistent/partial,partial,yes,partial,partial,no,tools/RAG,tracing,active,adjacent,high,T07 C07,Crews and Flows have different control semantics
T08,PydanticAI,typed agent,multi-provider,session,partial,yes,no,no,no,none,logs,active,adjacent,high,T08 C08,structured outputs are capability not memory
T09,Google ADK,agent/workflow,multi-provider,session/event,yes,yes,yes,partial,no,tools/search,tracing,active,adjacent,high,T09 C09,computer use and browser support require runtime checks
T10,Strands Agents,model-driven harness,multi-provider,session,partial,partial,partial,no,no,tools/MCP,partial-trace,active,adjacent,medium,T10 C10,orphaned tool result issue limits confidence
T11,Letta,persistent memory agent,multi-provider,memory blocks,partial,partial,no,no,API,FTS/vector,logs,active,direct,high,T11 C11,blocks are official product concept
T12,Mem0,memory layer,multi-provider,persistent user/session/agent,partial,partial,no,no,API,vector/graph,partial,active,direct,high,T12 C12,metadata filtering issue limits recall confidence
T13,Graphiti,temporal memory graph,multi-provider,temporal graph,no,yes,no,no,API,graph,partial,active,direct,high,T13 C13,non-convergence issue needs iteration cap
T14,LangMem,memory tooling,multi-provider,persistent/manager,partial,yes,no,no,no,vector/store,partial,active,direct,medium,T14 C14,background manager is official claim
T15,DSPy,program optimization,multi-provider,none/partial,no,partial,no,no,no,partial,eval traces,active,adjacent,medium,T15 C15,policy learning only in offline plane
T16,OpenHands,coding/always-on,multi-provider,session,yes,yes,yes,yes,webhook/schedule,repo/RAG,logs,active,adjacent,high,T16 C16,sandbox startup is a known failure surface
T17,SWE-agent,coding benchmark,multi-provider,session,partial,partial,partial,yes,no,repo map,trajectory,transition,adjacent,medium,T17 C17,mini-SWE-agent migration noted
T18,Aider,terminal coding,multi-provider,git/session,yes,no,partial,partial,no,repo map,git/diff,active,adjacent,high,T18 C18,undo and commits are explicit artifacts
T19,Browser Use,browser agent,multi-provider,session,partial,yes,yes,partial,no,web,logs,active,adjacent,high,T19 C19,browser state machine is core capability
T20,Claude Code,coding CLI,Claude,project/session,yes,partial,partial,yes,no,repo/search,partial,active,adjacent,high,T20 C20,quota and provider policy are external state
T21,Gemini CLI,terminal agent,Gemini,session/checkpoint,yes,partial,yes,partial,no,search/MCP,logs,active,adjacent,high,T21 C21,checkpoint and search grounding are official
T22,Dify,visual workflow,multi-provider,knowledge/session,yes,yes,partial,partial,API/channels,RAG/knowledge,logs,active,adjacent,high,T22 C22,knowledge migration issue requires rebuild path
