id,title,source_url,source_level,publication_status,scope,metric_or_task,code_or_data_status,reproduction_status,role_consistency_use,notes
A52,SOTOPIA,https://arxiv.org/abs/2310.11667,B,arXiv 2023,social intelligence environment,"persona/goal/relationship multi-turn interaction",unknown,not-started,social trajectory and relationship continuity,"OpenAlex discovery; direct arXiv landing GET 200"
A53,SOTOPIA-pi,https://aclanthology.org/2024.acl-long.698/,A,ACL 2024,interactive social learning,"social strategy and long-horizon interaction",paper page verified,not-started,train/evaluate bounded social behavior,"Formal ACL landing GET 200"
A54,LIFELONG SOTOPIA,https://arxiv.org/abs/2506.12666,B,arXiv 2025,longitudinal social interaction,"lifelong relationship and behavior trajectory",unknown,not-started,relationship drift and recovery,"Preprint; direct arXiv landing GET 200"
A55,EmoBench,https://aclanthology.org/2024.acl-long.326/,A,ACL 2024,emotional intelligence,"emotion understanding/inference/regulation",code https://github.com/Sahandfer/EmoBench,not-started,appraisal-to-state-to-action probes,"Formal ACL landing GET 200; code link extracted from ACL page"
A56,OpenToM,https://aclanthology.org/2024.acl-long.466/,A,ACL 2024,theory of mind,"belief/intent/knowledge multi-step reasoning",paper page verified,not-started,implicit belief and misunderstanding tests,"Formal ACL landing GET 200"
A57,Investigating Cultural Alignment,https://aclanthology.org/2024.acl-long.671/,A,ACL 2024,cultural alignment,"cross-cultural value and preference evaluation",paper page verified,not-started,culture-stratified role value scoring,"Formal ACL landing GET 200"
A58,Cultural bias and cultural alignment,https://doi.org/10.1093/pnasnexus/pgae346,A,PNAS Nexus 2024,cultural bias/alignment,"culture-stratified behavior and preference",Crossref metadata verified,pending,avoid treating one culture as persona truth,"DOI/publisher returned 403 in this environment"
A59,SafetyBench,https://aclanthology.org/2024.acl-long.830/,A,ACL 2024,LLM safety,"multilingual safety categories and refusal",code https://github.com/thu-coai/SafetyBench,not-started,role boundary and multilingual safety,"Formal ACL landing GET 200; code link extracted from ACL page"
A60,R-Judge,https://aclanthology.org/2024.findings-emnlp.79/,A,Findings EMNLP 2024,agent safety awareness,"risk awareness beyond final refusal",paper page verified,not-started,tool authorization and safety rationale,"Formal ACL landing GET 200"
A61,Agent-SafetyBench,https://arxiv.org/abs/2412.14470,B,arXiv 2024,agent safety,"tool use/planning/environment interaction risk",unknown,not-started,role action boundary under tools,"Preprint; direct arXiv landing GET 200"
A62,HarmBench,https://arxiv.org/abs/2402.04249,B,arXiv 2024,red teaming and refusal,"attack success and robust refusal",unknown,not-started,role-play jailbreak boundary tests,"Preprint; direct arXiv landing GET 200"
A63,JailbreakBench,https://arxiv.org/abs/2404.01318,B,arXiv 2024,jailbreak robustness,"attack success under standardized prompts",unknown,not-started,role prompt injection tests,"Preprint; direct arXiv landing GET 200"
A64,SALAD-Bench,https://aclanthology.org/2024.findings-acl.235/,A,Findings ACL 2024,hierarchical safety,"risk category and severity analysis",code https://github.com/OpenSafetyLab/SALAD-BENCH,not-started,separate safety boundary from role fidelity,"Formal ACL landing GET 200; code link extracted from ACL page"
A65,WildGuard,https://arxiv.org/abs/2406.18495,B,arXiv 2024,moderation/jailbreak/refusal,"classification, detection and refusal",unknown,not-started,moderation and role response audit,"Preprint; direct arXiv landing GET 200"
A66,OR-Bench,https://arxiv.org/abs/2405.20947,B,arXiv 2024,over-refusal,"false refusal and benign requests",unknown,not-started,measure safety overreach that erases character behavior,"Preprint; direct arXiv landing GET 200"
